,Product,Summary
0,Actions console,"Create, manage, and deploy your Actions projects."
1,Actions on Google account linking,Link your users' accounts
2,Actions on Google Content Actions,Create rich Google Search and Assistant experiences with your content.
3,Actions on Google Interactive Canvas,Create immersive experiences with Interactive Canvas
4,Actions on Google Smart Home,Build smart home Actions for the Google Assistant.
5,Actions on Google Transactions,Add transactions to your Actions.
6,Activity Recognition API,Accurately detect users' activity using low power signals from multiple sensors in the device.
7,AdSense Custom Search Ads,Implementations that provide delivery of targeted ads along with your search results.
8,Alert Center API,Manages alerts on issues affecting your domain.
9,AMP for Email,Let users interact dynamically with email content in Gmail.
10,AMP on Google,Integrate your AMP content with Google.
11,Analytics Core Reporting API,"Access Google Analytics report data to build custom dashboards, automate complex reporting tasks, and integrate your data with other applications."
12,Analytics Embed API,Create and embed a Google Analytics dashboard on a third-party website.
13,Analytics for AMP Pages,Measure user interaction with AMP pages.
14,Analytics for Firebase - Android,Measure user interaction with Android apps.
15,Analytics for Firebase - iOS,Measure user interaction with iOS apps.
16,Analytics Management API,Access Google Analytics configuration data to programmatically manage Analytics accounts.
17,Analytics Measurement Protocol,Send raw user interaction data to Google Analytics using HTTP requests.
18,Analytics Metadata API,Access all dimensions and metrics exposed in the Google Analytics reporting APIs.
19,Analytics Multi-Channel Funnels Reporting API,Request Multi-Channel Funnels data for an authenticated user to analyze how multiple marketing channels influence conversions over time.
20,Analytics Provisioning API,Create new Google Analytics accounts and enable Analytics for your customers at scale.
21,Analytics Real Time Reporting API,Request real-time data for an authenticated user to report activity that is occurring on your property.
22,Android Developers,"The official site for Android app developers. Provides tools, training, and documentation."
23,Android Enterprise Partner Programs,Add enterprise features and services to your Android devices to make them Enterprise Recommended.
24,Android for Cars,Overview of Android for Cars documentation.
25,Android Management API,Manage Android devices and apps.
26,Android Things,Build devices based on the Android Things platform.
27,Android zero-touch enrollment,Tools for device resellers and enterprise mobility management (EMM) providers to assign and provision fully managed devices for enterprise customers.
28,API Client Libraries,Client libraries for accessing Google APIs.
29,API for Domain Connect,Provide endpoints for domain service providers to initiate the Domain Connect protocol.
30,Angular,A modern web development platform with fully integrated tools and a focus on maintainability and collaboration that helps your code reach further.
31,Angular CLI,"The Angular CLI is a command-line interface tool that you use to initialize, develop, scaffold, and maintain Angular applications directly from a command shell."
32,Angular DevTools,Angular DevTools is a Chrome extension that provides debugging and profiling capabilities for Angular applications.
33,Angular Material,Material Design components for Angular.
